model,n_components,k,cov,tr_silhouette,tr_calinski_harabasz,tr_davies_bouldin,te_silhouette,te_calinski_harabasz,te_davies_bouldin
SVD+GMM,5,3,full,0.04157529061800599,1449.1687462298285,5.525317584417897,0.03458857104080419,353.4384028112205,5.357171157474096
SVD+GMM,5,3,tied,0.18956693046765327,3375.9824260255978,1.5212782760808237,0.18390645543437162,806.1426105920094,1.562662084865436
SVD+GMM,5,3,diag,0.13497113204181996,2447.1332653078616,2.0221259642147427,0.13624732158328576,607.4957550260756,2.0017309046536274
SVD+GMM,5,3,spherical,0.25426247691255527,4715.553200919588,1.2213211842295166,0.24885201373189159,1134.9148645058517,1.2430679221848682
SVD+GMM,5,4,full,0.0970580680893283,2073.333113228834,2.9230658036837833,0.08929920673878984,500.3996929998693,2.914532551225263
SVD+GMM,5,4,tied,0.11221781250128078,2404.7326034801613,2.7523002643289396,0.10317379625541741,575.8280429312277,2.7846118906596975
SVD+GMM,5,4,diag,0.08805678589812041,1858.1689156299662,2.6946600954153164,0.08826140349228391,461.1846958403444,2.713025898536716
SVD+GMM,5,4,spherical,0.23021065554730852,4725.096491069333,1.1933888632084246,0.23037230894933916,1161.8943357092003,1.191878782968777
SVD+GMM,5,5,full,0.04960676073134118,1590.4021754267328,3.686508690700151,0.05689830758234022,395.913096004449,3.6186544988200033
SVD+GMM,5,5,tied,0.05730457941951777,1770.3855264104109,4.092221043896695,0.056640633425956766,437.3259329217721,3.983135976489552
SVD+GMM,5,5,diag,0.18547598414538122,3986.143960739636,1.3895593237746455,0.1832110786197056,960.780734127521,1.398712724167641
SVD+GMM,5,5,spherical,0.2109753724545491,4470.791411222116,1.2652237395821246,0.20627431536125454,1077.6422333527557,1.281819345162287
SVD+GMM,5,6,full,0.057059132326588054,1867.155922285538,4.096639147319196,0.052712487234257296,443.9606314536811,4.009169846664142
SVD+GMM,5,6,tied,0.1676303528905607,3441.233176084327,1.4561726534938941,0.16848810630774985,846.9092425181478,1.443387031820728
SVD+GMM,5,6,diag,0.06258318760587758,1378.9803101222049,2.9975896987632766,0.060214330765715196,349.7951099093856,2.9569148122098006
SVD+GMM,5,6,spherical,0.17573709225303388,4140.736323451419,1.3209267597694878,0.17417785108855596,1020.8565591692973,1.3103526292660514
SVD+GMM,5,8,full,0.009199504399118472,1304.1617580006764,3.2189159230479043,-0.00515194873411572,318.21411213760297,3.0585087260781125
SVD+GMM,5,8,tied,0.17316849663254713,3213.610052110277,1.3112875397058739,0.1687974326064354,774.743217597139,1.30830980565946
SVD+GMM,5,8,diag,0.04452557962715227,1118.685387782167,3.6848230891506666,0.040133170495402694,279.3082268637256,3.81147026543509
SVD+GMM,5,8,spherical,0.20026374375710165,3799.494916099144,1.2442183961268882,0.19823930062589917,929.6803938134657,1.244391019997027
SVD+GMM,5,10,full,0.01265906785635693,1255.35384892738,3.239069648769785,0.006083494087100839,310.18202220349406,3.241287944358048
SVD+GMM,5,10,tied,0.055427759697858646,1683.2950495367927,2.445806802003723,0.06223715110767484,428.306711247777,2.3470406845688343
SVD+GMM,5,10,diag,0.026160673744911156,958.2004094683354,3.533775490352748,0.019976375079114192,240.08097114612653,3.633090900950073
SVD+GMM,5,10,spherical,0.16735153840437017,3373.6259088823035,1.272438512718293,0.17014034696459604,843.6699438682001,1.266365079754777
SVD+GMM,8,2,full,0.46596223467054765,2446.2769928397292,0.7086198271174474,0.46268434972950073,597.5498776914964,0.7129455936440684
SVD+GMM,8,2,tied,0.18990143014574476,3960.7655616212837,1.8339696011332243,0.18488229021702138,951.2388687246832,1.8751439168080335
SVD+GMM,8,2,diag,0.46596223467054765,2446.2769928397292,0.7086198271174474,0.46268434972950073,597.5498776914964,0.7129455936440684
SVD+GMM,8,2,spherical,0.18764853223686714,3904.8721860881933,1.8462532739157758,0.18262677996255475,932.5521029983075,1.8890747972557225
SVD+GMM,8,3,full,0.042367209679191935,1316.3229901078503,4.839140573183779,0.036956679885547246,322.1194520464555,4.7468224379811135
SVD+GMM,8,3,tied,0.16272652291537,2855.2167551706993,1.701320969412552,0.1580700385156783,683.9166944526305,1.7431677519874043
SVD+GMM,8,3,diag,0.11559679636961627,2119.375590669486,2.226457093723621,0.11673292323993205,526.9150389668106,2.2032537371334273
SVD+GMM,8,3,spherical,0.22345731666910096,4003.5550133688776,1.355392055441009,0.21949220452693508,970.1225140999314,1.3730408729409191
SVD+GMM,8,4,full,0.034740869463563244,1129.361467829709,2.9723452453153407,0.0251765638165032,275.0218333910302,2.9383784520058858
